Organism	Name	Group	Condition	Description
Azospirillum brasilense Sp245	set2IT017	nitrogen source	L-Aspartic Acid	L-Aspartic Acid (N)
Azospirillum brasilense Sp245	set3IT065	nitrogen source	L-Aspartic Acid	L-Aspartic Acid (N)
Azospirillum brasilense Sp245	set2IT028	nitrogen source	L-Citrulline	L-Citrulline (N)
Azospirillum brasilense Sp245	set3IT076	nitrogen source	L-Citrulline	L-Citrulline (N)
Azospirillum brasilense Sp245	set2IT018	nitrogen source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (N)
Azospirillum brasilense Sp245	set3IT063	nitrogen source	L-Histidine	L-Histidine (N)
Azospirillum brasilense Sp245	set3IT072	nitrogen source	L-Isoleucine	L-Isoleucine (N)
Azospirillum brasilense Sp245	set2IT025	nitrogen source	L-Leucine	L-Leucine (N)
Azospirillum brasilense Sp245	set3IT073	nitrogen source	L-Leucine	L-Leucine (N)
Azospirillum brasilense Sp245	set2IT016	nitrogen source	L-Lysine	L-Lysine (N)
Azospirillum brasilense Sp245	set3IT064	nitrogen source	L-Lysine	L-Lysine (N)
Azospirillum brasilense Sp245	set2IT026	nitrogen source	L-Phenylalanine	L-Phenylalanine (N)
Azospirillum brasilense Sp245	set3IT074	nitrogen source	L-Phenylalanine	L-Phenylalanine (N)
Azospirillum brasilense Sp245	set2IT019	nitrogen source	L-Serine	L-Serine (N)
Azospirillum brasilense Sp245	set3IT067	nitrogen source	L-Serine	L-Serine (N)
Azospirillum brasilense Sp245	set2IT020	nitrogen source	L-Threonine	L-Threonine (N)
Azospirillum brasilense Sp245	set3IT068	nitrogen source	L-Threonine	L-Threonine (N)
Azospirillum brasilense Sp245	set2IT030	nitrogen source	Parabanic Acid	Parabanic Acid (N)
Azospirillum brasilense Sp245	set3IT078	nitrogen source	Parabanic Acid	Parabanic Acid (N)
Azospirillum brasilense Sp245	set2IT034	nitrogen source	Sodium nitrate	nitrate (N)
Azospirillum brasilense Sp245	set3IT082	nitrogen source	Sodium nitrate	nitrate (N)
Azospirillum brasilense Sp245	set2IT035	nitrogen source	Urea	Urea (N)
Azospirillum brasilense Sp245	set3IT083	nitrogen source	Urea	Urea (N)
Azospirillum brasilense Sp245	set2IT029	nitrogen source	casamino acids	casaminos (N)
Azospirillum brasilense Sp245	set3IT077	nitrogen source	casamino acids	casaminos (N)
Burkholderia phytofirmans PsJN	set3IT078	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Burkholderia phytofirmans PsJN	set3IT071	nitrogen source	Carnitine Hydrochloride	Carnitine Hydrochloride (N)
Burkholderia phytofirmans PsJN	set3IT068	nitrogen source	D-Alanine	D-Alanine (N)
Burkholderia phytofirmans PsJN	set3IT064	nitrogen source	L-Alanine	L-Alanine (N)
Burkholderia phytofirmans PsJN	set3IT061	nitrogen source	L-Asparagine	L-Asparagine (N)
Burkholderia phytofirmans PsJN	set3IT070	nitrogen source	L-Citrulline	L-Citrulline (N)
Burkholderia phytofirmans PsJN	set3IT058	nitrogen source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (N)
Burkholderia phytofirmans PsJN	set3IT062	nitrogen source	L-Glutamine	L-Glutamine (N)
Burkholderia phytofirmans PsJN	set3IT065	nitrogen source	L-Isoleucine	L-Isoleucine (N)
Burkholderia phytofirmans PsJN	set3IT056	nitrogen source	L-Lysine	L-Lysine (N)
Burkholderia phytofirmans PsJN	set3IT066	nitrogen source	L-Phenylalanine	L-Phenylalanine (N)
Burkholderia phytofirmans PsJN	set3IT063	nitrogen source	L-Proline	L-Proline (N)
Burkholderia phytofirmans PsJN	set3IT059	nitrogen source	L-Serine	L-Serine (N)
Burkholderia phytofirmans PsJN	set3IT075	nitrogen source	N-Acetyl-D-Glucosamine	NAG (N)
Burkholderia phytofirmans PsJN	set3IT074	nitrogen source	Putrescine Dihydrochloride	Putrescine (N)
Burkholderia phytofirmans PsJN	set3IT077	nitrogen source	Uridine	Uridine (N)
Caulobacter crescentus NA1000	set1IT076	nitrogen source	Adenosine	Adenosine (N)
Caulobacter crescentus NA1000	set2IT007	nitrogen source	Adenosine	Adenosine (N)
Caulobacter crescentus NA1000	set1IT080	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Caulobacter crescentus NA1000	set2IT011	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Caulobacter crescentus NA1000	set1IT078	nitrogen source	Cytidine	Cytidine (N)
Caulobacter crescentus NA1000	set2IT009	nitrogen source	Cytidine	Cytidine (N)
Caulobacter crescentus NA1000	set1IT075	nitrogen source	D-Glucosamine Hydrochloride	D-Glucosamine Hydrochloride (N)
Caulobacter crescentus NA1000	set2IT006	nitrogen source	D-Glucosamine Hydrochloride	D-Glucosamine Hydrochloride (N)
Caulobacter crescentus NA1000	set1IT079	nitrogen source	Glucuronamide	Glucuronamide (N)
Caulobacter crescentus NA1000	set2IT010	nitrogen source	Glucuronamide	Glucuronamide (N)
Caulobacter crescentus NA1000	set1IT077	nitrogen source	Inosine	Inosine (N)
Caulobacter crescentus NA1000	set2IT008	nitrogen source	Inosine	Inosine (N)
Caulobacter crescentus NA1000	set1IT064	nitrogen source	L-Alanine	L-Alanine (N)
Caulobacter crescentus NA1000	set1IT091	nitrogen source	L-Alanine	L-Alanine (N)
Caulobacter crescentus NA1000	set1IT056	nitrogen source	L-Arginine	L-Arginine (N)
Caulobacter crescentus NA1000	set1IT083	nitrogen source	L-Arginine	L-Arginine (N)
Caulobacter crescentus NA1000	set1IT061	nitrogen source	L-Asparagine	L-Asparagine (N)
Caulobacter crescentus NA1000	set1IT088	nitrogen source	L-Asparagine	L-Asparagine (N)
Caulobacter crescentus NA1000	set1IT058	nitrogen source	L-Aspartic Acid	L-aspartic (N)
Caulobacter crescentus NA1000	set1IT085	nitrogen source	L-Aspartic Acid	L-aspartic (N)
Caulobacter crescentus NA1000	set1IT071	nitrogen source	L-Citrulline	L-Citrulline (N)
Caulobacter crescentus NA1000	set2IT002	nitrogen source	L-Citrulline	L-Citrulline (N)
Caulobacter crescentus NA1000	set1IT059	nitrogen source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (N)
Caulobacter crescentus NA1000	set1IT086	nitrogen source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (N)
Caulobacter crescentus NA1000	set1IT066	nitrogen source	L-Isoleucine	L-Isoleucine (N)
Caulobacter crescentus NA1000	set1IT093	nitrogen source	L-Isoleucine	L-Isoleucine (N)
Caulobacter crescentus NA1000	set1IT067	nitrogen source	L-Leucine	L-Leucine (N)
Caulobacter crescentus NA1000	set1IT094	nitrogen source	L-Leucine	L-Leucine (N)
Caulobacter crescentus NA1000	set1IT069	nitrogen source	L-Phenylalanine	L-Phenylalanine (N)
Caulobacter crescentus NA1000	set1IT096	nitrogen source	L-Phenylalanine	L-Phenylalanine (N)
Caulobacter crescentus NA1000	set1IT063	nitrogen source	L-Proline	L-Proline (N)
Caulobacter crescentus NA1000	set1IT090	nitrogen source	L-Proline	L-Proline (N)
Caulobacter crescentus NA1000	set1IT070	nitrogen source	L-Tryptophan	L-Tryptophan (N)
Caulobacter crescentus NA1000	set2IT001	nitrogen source	L-Tryptophan	L-Tryptophan (N)
Caulobacter crescentus NA1000	set1IT065	nitrogen source	L-Valine	L-Valine (N)
Caulobacter crescentus NA1000	set1IT092	nitrogen source	L-Valine	L-Valine (N)
Caulobacter crescentus NA1000	set1IT074	nitrogen source	N-Acetyl-D-Glucosamine	N-Acetyl-D-glucosamine (N)
Caulobacter crescentus NA1000	set2IT005	nitrogen source	N-Acetyl-D-Glucosamine	N-Acetyl-D-glucosamine (N)
Caulobacter crescentus NA1000	set1IT073	nitrogen source	Putrescine Dihydrochloride	Putrescine (N)
Caulobacter crescentus NA1000	set2IT004	nitrogen source	Putrescine Dihydrochloride	Putrescine (N)
Caulobacter crescentus NA1000	set1IT081	nitrogen source	Sodium nitrate	nitrate (N)
Caulobacter crescentus NA1000	set2IT012	nitrogen source	Sodium nitrate	nitrate (N)
Caulobacter crescentus NA1000	set1IT082	nitrogen source	Urea	Urea (N)
Caulobacter crescentus NA1000	set2IT013	nitrogen source	Urea	Urea (N)
Caulobacter crescentus NA1000	set1IT072	nitrogen source	casamino acids	Casamino Acids (N)
Caulobacter crescentus NA1000	set2IT003	nitrogen source	casamino acids	Casamino Acids (N)
Cupriavidus basilensis 4G11	set2IT094	nitrogen source	D-Alanine	D-Alanine (N)
Cupriavidus basilensis 4G11	set3IT020	nitrogen source	D-Alanine	D-Alanine (N)
Cupriavidus basilensis 4G11	set3IT024	nitrogen source	Glucuronamide	Glucuronamide (N)
Cupriavidus basilensis 4G11	set3IT014	nitrogen source	Glycine	Glycine (N)
Cupriavidus basilensis 4G11	set2IT087	nitrogen source	L-Asparagine	L-Asparagine (N)
Cupriavidus basilensis 4G11	set3IT021	nitrogen source	L-Citrulline	L-Citrulline (N)
Cupriavidus basilensis 4G11	set3IT013	nitrogen source	L-Glutamine	L-Glutamine (N)
Cupriavidus basilensis 4G11	set2IT090	nitrogen source	L-Isoleucine	L-Isoleucine (N)
Cupriavidus basilensis 4G11	set3IT016	nitrogen source	L-Isoleucine	L-Isoleucine (N)
Cupriavidus basilensis 4G11	set2IT091	nitrogen source	L-Leucine	L-Leucine (N)
Cupriavidus basilensis 4G11	set3IT017	nitrogen source	L-Leucine	L-Leucine (N)
Cupriavidus basilensis 4G11	set2IT084	nitrogen source	L-Lysine	L-Lysine (N)
Cupriavidus basilensis 4G11	set3IT018	nitrogen source	L-Phenylalanine	L-Phenylalanine (N)
Cupriavidus basilensis 4G11	set2IT085	nitrogen source	L-Serine	L-Serine (N)
Cupriavidus basilensis 4G11	set3IT010	nitrogen source	L-Serine	L-Serine (N)
Cupriavidus basilensis 4G11	set2IT086	nitrogen source	L-Threonine	L-Threonine (N)
Cupriavidus basilensis 4G11	set2IT093	nitrogen source	L-Tryptophan	L-Tryptophan (N)
Cupriavidus basilensis 4G11	set3IT019	nitrogen source	L-Tryptophan	L-Tryptophan (N)
Cupriavidus basilensis 4G11	set2IT089	nitrogen source	L-Valine	L-Valine (N)
Cupriavidus basilensis 4G11	set3IT015	nitrogen source	L-Valine	L-Valine (N)
Cupriavidus basilensis 4G11	set3IT026	nitrogen source	Sodium nitrate	nitrate (N)
Cupriavidus basilensis 4G11	set3IT027	nitrogen source	Sodium nitrite	nitrite (N)
Cupriavidus basilensis 4G11	set3IT002	nitrogen source	casamino acids	casaminos (N)
Desulfovibrio vulgaris Miyazaki F	set6IT018	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Desulfovibrio vulgaris Miyazaki F	set7IT070	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Desulfovibrio vulgaris Miyazaki F	set7IT056	nitrogen source	Glucuronamide	Glucuronamide (N)
Desulfovibrio vulgaris Miyazaki F	set7IT069	nitrogen source	Glucuronamide	Glucuronamide (N)
Desulfovibrio vulgaris Miyazaki F	set7IT063	nitrogen source	L-Serine	L-Serine (N)
Desulfovibrio vulgaris Miyazaki F	set7IT052	nitrogen source	L-Serine	L-Serine (N)
Desulfovibrio vulgaris Miyazaki F	set7IT055	nitrogen source	casamino acids	casaminos (N)
Desulfovibrio vulgaris Miyazaki F	set7IT068	nitrogen source	casamino acids	casaminos (N)
Dinoroseobacter shibae DFL-12	set5IT051	nitrogen source	Adenine hydrochloride hydrate	Adenine (N)
Dinoroseobacter shibae DFL-12	set5IT070	nitrogen source	Adenine hydrochloride hydrate	Adenine (N)
Dinoroseobacter shibae DFL-12	set4IT048	nitrogen source	Adenosine	Adenosine (N)
Dinoroseobacter shibae DFL-12	set5IT069	nitrogen source	Adenosine	Adenosine (N)
Dinoroseobacter shibae DFL-12	set5IT058	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Dinoroseobacter shibae DFL-12	set5IT077	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Dinoroseobacter shibae DFL-12	set5IT054	nitrogen source	Cytidine	Cytidine (N)
Dinoroseobacter shibae DFL-12	set5IT073	nitrogen source	Cytidine	Cytidine (N)
Dinoroseobacter shibae DFL-12	set5IT056	nitrogen source	Cytosine	Cytosine (N)
Dinoroseobacter shibae DFL-12	set5IT075	nitrogen source	Cytosine	Cytosine (N)
Dinoroseobacter shibae DFL-12	set5IT057	nitrogen source	Glucuronamide	Glucuronamide (N)
Dinoroseobacter shibae DFL-12	set5IT076	nitrogen source	Glucuronamide	Glucuronamide (N)
Dinoroseobacter shibae DFL-12	set5IT053	nitrogen source	Inosine	Inosine (N)
Dinoroseobacter shibae DFL-12	set5IT072	nitrogen source	Inosine	Inosine (N)
Dinoroseobacter shibae DFL-12	set4IT043	nitrogen source	L-Alanine	L-Alanine (N)
Dinoroseobacter shibae DFL-12	set5IT064	nitrogen source	L-Alanine	L-Alanine (N)
Dinoroseobacter shibae DFL-12	set5IT061	nitrogen source	L-Aspartic Acid	L-Aspartic Acid (N)
Dinoroseobacter shibae DFL-12	set4IT046	nitrogen source	L-Citrulline	L-Citrulline (N)
Dinoroseobacter shibae DFL-12	set5IT067	nitrogen source	L-Citrulline	L-Citrulline (N)
Dinoroseobacter shibae DFL-12	set4IT041	nitrogen source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (N)
Dinoroseobacter shibae DFL-12	set5IT062	nitrogen source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (N)
Dinoroseobacter shibae DFL-12	set4IT042	nitrogen source	L-Glutamine	L-Glutamine (N)
Dinoroseobacter shibae DFL-12	set5IT063	nitrogen source	L-Glutamine	L-Glutamine (N)
Dinoroseobacter shibae DFL-12	set4IT044	nitrogen source	L-Leucine	L-Leucine (N)
Dinoroseobacter shibae DFL-12	set5IT065	nitrogen source	L-Leucine	L-Leucine (N)
Dinoroseobacter shibae DFL-12	set4IT045	nitrogen source	L-Methionine	L-Methionine (N)
Dinoroseobacter shibae DFL-12	set5IT066	nitrogen source	L-Methionine	L-Methionine (N)
Dinoroseobacter shibae DFL-12	set4IT047	nitrogen source	Parabanic Acid	Parabanic Acid (N)
Dinoroseobacter shibae DFL-12	set5IT068	nitrogen source	Parabanic Acid	Parabanic Acid (N)
Dinoroseobacter shibae DFL-12	set5IT059	nitrogen source	Sodium nitrate	nitrate (N)
Dinoroseobacter shibae DFL-12	set5IT078	nitrogen source	Sodium nitrate	nitrate (N)
Dinoroseobacter shibae DFL-12	set5IT055	nitrogen source	Thymine	Thymine (N)
Dinoroseobacter shibae DFL-12	set5IT074	nitrogen source	Thymine	Thymine (N)
Dinoroseobacter shibae DFL-12	set5IT060	nitrogen source	Urea	Urea (N)
Dinoroseobacter shibae DFL-12	set5IT052	nitrogen source	Uridine	Uridine (N)
Dinoroseobacter shibae DFL-12	set5IT071	nitrogen source	Uridine	Uridine (N)
Dyella japonica UNC79MFTsu3.2	set3IT093	nitrogen source	D-Glucosamine Hydrochloride	D-Glucosamine Hydrochloride (N)
Dyella japonica UNC79MFTsu3.2	set3IT094	nitrogen source	Glucuronamide	Glucuronamide (N)
Dyella japonica UNC79MFTsu3.2	set3IT082	nitrogen source	L-Arginine	L-Arginine (N)
Dyella japonica UNC79MFTsu3.2	set3IT086	nitrogen source	L-Asparagine	L-Asparagine (N)
Dyella japonica UNC79MFTsu3.2	set3IT089	nitrogen source	L-Isoleucine	L-Isoleucine (N)
Dyella japonica UNC79MFTsu3.2	set3IT090	nitrogen source	L-Leucine	L-Leucine (N)
Dyella japonica UNC79MFTsu3.2	set3IT083	nitrogen source	L-Lysine	L-Lysine (N)
Dyella japonica UNC79MFTsu3.2	set3IT088	nitrogen source	L-Proline	L-Proline (N)
Dyella japonica UNC79MFTsu3.2	set3IT092	nitrogen source	N-Acetyl-D-Glucosamine	N-Acetyl-D-glucosamine (N)
Dyella japonica UNC79MFTsu3.2	set3IT096	nitrogen source	Sodium nitrate	nitrate (N)
Dyella japonica UNC79MFTsu3.2	set3IT091	nitrogen source	casamino acids	Casamino Acids (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT049	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT068	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT047	nitrogen source	D-Glucosamine Hydrochloride	D-Glucosamine Hydrochloride (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT066	nitrogen source	D-Glucosamine Hydrochloride	D-Glucosamine Hydrochloride (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT048	nitrogen source	Glucuronamide	Glucuronamide (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT067	nitrogen source	Glucuronamide	Glucuronamide (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT040	nitrogen source	L-Alanine	L-Alanine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT059	nitrogen source	L-Alanine	L-Alanine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT032	nitrogen source	L-Arginine	L-Arginine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT051	nitrogen source	L-Arginine	L-Arginine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT037	nitrogen source	L-Asparagine	L-Asparagine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT056	nitrogen source	L-Asparagine	L-Asparagine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT045	nitrogen source	L-Citrulline	L-Citrulline (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT064	nitrogen source	L-Citrulline	L-Citrulline (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT034	nitrogen source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT053	nitrogen source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT038	nitrogen source	L-Glutamine	L-Glutamine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT057	nitrogen source	L-Glutamine	L-Glutamine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT041	nitrogen source	L-Leucine	L-Leucine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT060	nitrogen source	L-Leucine	L-Leucine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT033	nitrogen source	L-Lysine	L-Lysine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT052	nitrogen source	L-Lysine	L-Lysine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT042	nitrogen source	L-Methionine	L-Methionine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT061	nitrogen source	L-Methionine	L-Methionine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT043	nitrogen source	L-Phenylalanine	L-Phenylalanine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT062	nitrogen source	L-Phenylalanine	L-Phenylalanine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT039	nitrogen source	L-Proline	L-Proline (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT058	nitrogen source	L-Proline	L-Proline (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT035	nitrogen source	L-Serine	L-Serine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT054	nitrogen source	L-Serine	L-Serine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT044	nitrogen source	L-tyrosine disodium salt	L-tyrosine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT063	nitrogen source	L-tyrosine disodium salt	L-tyrosine (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT050	nitrogen source	Sodium nitrate	nitrate (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT069	nitrogen source	Sodium nitrate	nitrate (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT046	nitrogen source	casamino acids	Casamino Acids (N)
Echinicola vietnamensis KMM 6221, DSM 17526	set3IT065	nitrogen source	casamino acids	Casamino Acids (N)
Escherichia coli BW25113	set2IT005	nitrogen source	Adenosine	Adenosine (N)
Escherichia coli BW25113	set2IT006	nitrogen source	Adenosine	Adenosine (N)
Escherichia coli BW25113	set2IT009	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Escherichia coli BW25113	set2IT010	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Escherichia coli BW25113	set2IT007	nitrogen source	Cytidine	Cytidine (N)
Escherichia coli BW25113	set2IT008	nitrogen source	Cytidine	Cytidine (N)
Escherichia coli BW25113	set1IT087	nitrogen source	D-Alanine	D-Alanine (N)
Escherichia coli BW25113	set1IT088	nitrogen source	D-Alanine	D-Alanine (N)
Escherichia coli BW25113	set1IT085	nitrogen source	D-Serine	D-Serine (N)
Escherichia coli BW25113	set1IT086	nitrogen source	D-Serine	D-Serine (N)
Escherichia coli BW25113	set1IT089	nitrogen source	Gly-DL-Asp	Gly-DL-Asp (N)
Escherichia coli BW25113	set1IT090	nitrogen source	Gly-DL-Asp	Gly-DL-Asp (N)
Escherichia coli BW25113	set1IT091	nitrogen source	Gly-Glu	Gly-Glu (N)
Escherichia coli BW25113	set1IT092	nitrogen source	Gly-Glu	Gly-Glu (N)
Escherichia coli BW25113	set1IT081	nitrogen source	Glycine	Glycine (N)
Escherichia coli BW25113	set1IT082	nitrogen source	Glycine	Glycine (N)
Escherichia coli BW25113	set1IT083	nitrogen source	L-Alanine	L-Alanine (N)
Escherichia coli BW25113	set1IT084	nitrogen source	L-Alanine	L-Alanine (N)
Escherichia coli BW25113	set1IT071	nitrogen source	L-Arginine	L-Arginine (N)
Escherichia coli BW25113	set1IT072	nitrogen source	L-Arginine	L-Arginine (N)
Escherichia coli BW25113	set1IT077	nitrogen source	L-Asparagine	L-Asparagine (N)
Escherichia coli BW25113	set1IT078	nitrogen source	L-Asparagine	L-Asparagine (N)
Escherichia coli BW25113	set1IT073	nitrogen source	L-Aspartic Acid	L-Aspartic Acid (N)
Escherichia coli BW25113	set1IT074	nitrogen source	L-Aspartic Acid	L-Aspartic Acid (N)
Escherichia coli BW25113	set1IT079	nitrogen source	L-Glutamine	L-Glutamine (N)
Escherichia coli BW25113	set1IT080	nitrogen source	L-Glutamine	L-Glutamine (N)
Escherichia coli BW25113	set1IT075	nitrogen source	L-Serine	L-Serine (N)
Escherichia coli BW25113	set1IT076	nitrogen source	L-Serine	L-Serine (N)
Escherichia coli BW25113	set1IT095	nitrogen source	Putrescine Dihydrochloride	Putrescine (N)
Escherichia coli BW25113	set1IT096	nitrogen source	Putrescine Dihydrochloride	Putrescine (N)
Escherichia coli BW25113	set1IT093	nitrogen source	casamino acids	casaminos (N)
Escherichia coli BW25113	set1IT094	nitrogen source	casamino acids	casaminos (N)
Herbaspirillum seropedicae SmR1	set2IT063	nitrogen source	L-Proline	L-Proline (N)
Klebsiella michiganensis M5al	set6IT066	nitrogen source	Adenosine	Adenosine (N)
Klebsiella michiganensis M5al	set6IT036	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Klebsiella michiganensis M5al	set6IT074	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Klebsiella michiganensis M5al	set6IT032	nitrogen source	Cytidine	Cytidine (N)
Klebsiella michiganensis M5al	set6IT070	nitrogen source	Cytidine	Cytidine (N)
Klebsiella michiganensis M5al	set6IT034	nitrogen source	Cytosine	Cytosine (N)
Klebsiella michiganensis M5al	set6IT072	nitrogen source	Cytosine	Cytosine (N)
Klebsiella michiganensis M5al	set6IT021	nitrogen source	D-Alanine	D-Alanine (N)
Klebsiella michiganensis M5al	set6IT059	nitrogen source	D-Alanine	D-Alanine (N)
Klebsiella michiganensis M5al	set6IT020	nitrogen source	D-Serine	D-Serine (N)
Klebsiella michiganensis M5al	set6IT058	nitrogen source	D-Serine	D-Serine (N)
Klebsiella michiganensis M5al	set6IT035	nitrogen source	Glucuronamide	Glucuronamide (N)
Klebsiella michiganensis M5al	set6IT073	nitrogen source	Glucuronamide	Glucuronamide (N)
Klebsiella michiganensis M5al	set6IT022	nitrogen source	Gly-DL-Asp	Gly-DL-Asp (N)
Klebsiella michiganensis M5al	set6IT060	nitrogen source	Gly-DL-Asp	Gly-DL-Asp (N)
Klebsiella michiganensis M5al	set6IT011	nitrogen source	Glycine	Glycine (N)
Klebsiella michiganensis M5al	set6IT069	nitrogen source	Inosine	Inosine (N)
Klebsiella michiganensis M5al	set6IT051	nitrogen source	L-Alanine	L-Alanine (N)
Klebsiella michiganensis M5al	set6IT001	nitrogen source	L-Arginine	L-Arginine (N)
Klebsiella michiganensis M5al	set6IT039	nitrogen source	L-Arginine	L-Arginine (N)
Klebsiella michiganensis M5al	set6IT008	nitrogen source	L-Asparagine	L-Asparagine (N)
Klebsiella michiganensis M5al	set6IT046	nitrogen source	L-Asparagine	L-Asparagine (N)
Klebsiella michiganensis M5al	set6IT004	nitrogen source	L-Aspartic Acid	L-aspartic (N)
Klebsiella michiganensis M5al	set6IT023	nitrogen source	L-Citrulline	L-Citrulline (N)
Klebsiella michiganensis M5al	set6IT010	nitrogen source	L-Cysteine hydrochloride monohydrate	L-Cysteine (N)
Klebsiella michiganensis M5al	set6IT048	nitrogen source	L-Cysteine hydrochloride monohydrate	L-Cysteine (N)
Klebsiella michiganensis M5al	set6IT005	nitrogen source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (N)
